iter	Passed	Remaining
0	1	121
1	2	132
2	3	127
3	4	119
4	6	116
5	7	116
6	9	121
7	10	117
8	11	116
9	12	114
10	13	111
11	14	108
12	15	106
13	16	104
14	18	102
15	19	99
16	20	101
17	21	99
18	22	97
19	24	96
20	25	94
21	26	93
22	27	91
23	28	89
24	29	88
25	30	86
26	32	86
27	33	85
28	34	84
29	35	82
30	36	81
31	37	79
32	38	78
33	39	77
34	40	76
35	42	75
36	43	73
37	44	72
38	45	71
39	46	70
40	47	68
41	48	66
42	49	65
43	50	64
44	51	63
45	53	62
46	54	61
47	55	60
48	56	58
49	57	57
50	58	56
51	59	54
52	60	53
53	61	52
54	62	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	73	38
66	74	36
67	76	35
68	77	34
69	78	33
70	79	32
71	81	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	18
84	95	16
85	96	15
86	98	14
87	99	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	112	1
99	113	0
